Reported / Charged;Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Guldborgsund;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Holbæk;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Kalundborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Lolland;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Næstved;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Odsherred;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Ringsted;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Slagelse;0;1;0;0;0;0;1;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Sorø;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Stevns;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Vordingborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Region Syddanmark;4;2;0;2;0;1;2;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Assens;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Faaborg-Midtfyn;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Kerteminde;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Langeland;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Middelfart;1;0;0;1;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Nordfyns;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Nyborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Odense;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Svendborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Ærø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Billund;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Esbjerg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Fanø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Fredericia;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Haderslev;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Kolding;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Sønderborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Tønder;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Varde;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Vejen;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Vejle;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Aabenraa;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Region Midtjylland;1;2;3;0;1;0;1;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Favrskov;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Hedensted;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Horsens;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Norddjurs;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Odder;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Randers;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Samsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Silkeborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Skanderborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Syddjurs;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Aarhus;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Herning;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Holstebro;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Ikast-Brande;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Lemvig;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Ringkøbing-Skjern;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Skive;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Struer;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Viborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Region Nordjylland;1;0;0;2;0;6;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Brønderslev;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Frederikshavn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Hjørring;0;0;0;0;0;5;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Jammerbugt;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Læsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Mariagerfjord;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Morsø;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Rebild;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Thisted;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Vesthimmerlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Aalborg;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Charge;Homosexual offence against a child under 12 (Repealed in 2013);Unknown municipality;0;2;0;0;1;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Region Hovedstaden;3;0;1;1;2;6;1;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Copenhagen;1;0;1;1;0;1;1;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Frederiksberg;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Dragør;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Tårnby;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Albertslund;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Ballerup;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Brøndby;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Gentofte;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Gladsaxe;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Glostrup;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Herlev;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Hvidovre;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Høje-Taastrup;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Ishøj;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Lyngby-Taarbæk;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Rødovre;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Vallensbæk;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Allerød;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Egedal;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Fredensborg;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Frederikssund;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Furesø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Gribskov;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Halsnæs;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Helsingør;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Hillerød;1;0;0;0;0;1;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Hørsholm;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Rudersdal;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Bornholm;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Region Sjælland;7;6;2;1;3;1;1;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Greve;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Køge;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Lejre;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Roskilde;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Solrød;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Faxe;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Guldborgsund;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Holbæk;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Kalundborg;4;1;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Lolland;1;0;0;0;0;0;1;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Næstved;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Odsherred;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Ringsted;0;0;0;0;3;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Slagelse;0;5;0;0;0;1;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Sorø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Stevns;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Vordingborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Region Syddanmark;0;2;2;0;4;0;3;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Assens;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Faaborg-Midtfyn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Kerteminde;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Langeland;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Middelfart;0;0;1;0;4;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Nordfyns;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Nyborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Odense;0;2;1;0;0;0;1;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Svendborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Ærø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Billund;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Esbjerg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Fanø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Fredericia;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Haderslev;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Kolding;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Sønderborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Tønder;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Varde;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Vejen;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Vejle;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Aabenraa;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Region Midtjylland;0;0;0;1;3;3;1;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Favrskov;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Hedensted;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Horsens;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Norddjurs;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Odder;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Randers;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Samsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Silkeborg;0;0;0;0;1;2;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Skanderborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Syddjurs;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Aarhus;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Herning;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Holstebro;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Ikast-Brande;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Lemvig;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Ringkøbing-Skjern;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Skive;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Struer;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Viborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Region Nordjylland;6;0;2;3;0;1;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Brønderslev;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Frederikshavn;3;0;1;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Hjørring;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Jammerbugt;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Læsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Mariagerfjord;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Morsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Rebild;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Thisted;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Vesthimmerlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Aalborg;2;0;0;2;0;1;0;0;0;0;0;0;0;0
Charge;Any other kind of homosexual offence (Repealed in 2013);Unknown municipality;1;0;0;0;1;1;0;0;0;0;0;0;0;0
Charge;Offence against public decency by groping;Region Hovedstaden;78;75;78;74;87;90;84;60;79;79;143;125;140;187
Charge;Offence against public decency by groping;Copenhagen;16;30;23;19;28;27;32;16;32;23;37;46;59;99
Charge;Offence against public decency by groping;Frederiksberg;1;5;3;2;3;1;0;3;9;3;1;8;4;5
Charge;Offence against public decency by groping;Dragør;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Charge;Offence against public decency by groping;Tårnby;0;5;1;2;0;1;2;2;1;2;2;4;3;5
Charge;Offence against public decency by groping;Albertslund;3;1;2;3;1;1;2;0;1;0;1;1;0;2
Charge;Offence against public decency by groping;Ballerup;6;0;2;1;1;4;4;1;2;4;1;5;5;3
Charge;Offence against public decency by groping;Brøndby;7;0;1;1;2;6;2;1;1;5;12;5;13;3
Charge;Offence against public decency by groping;Gentofte;1;1;0;0;1;0;2;2;1;0;11;5;2;5
Charge;Offence against public decency by groping;Gladsaxe;1;1;1;5;6;1;2;1;2;8;4;4;2;0
Charge;Offence against public decency by groping;Glostrup;0;0;2;4;1;5;1;0;0;0;2;3;3;3
Charge;Offence against public decency by groping;Herlev;2;0;2;3;1;2;10;3;0;1;2;1;3;0
Charge;Offence against public decency by groping;Hvidovre;2;4;0;4;4;0;1;1;1;3;2;6;3;11
Charge;Offence against public decency by groping;Høje-Taastrup;4;0;5;4;4;4;2;7;6;2;2;2;1;5
Charge;Offence against public decency by groping;Ishøj;6;1;3;0;1;1;2;0;0;0;0;0;1;2
Charge;Offence against public decency by groping;Lyngby-Taarbæk;1;0;4;0;2;1;5;0;0;0;9;1;2;3
Charge;Offence against public decency by groping;Rødovre;1;1;0;5;2;0;2;3;1;1;7;3;2;1
Charge;Offence against public decency by groping;Vallensbæk;0;0;0;0;3;0;0;0;3;0;1;0;1;1
Charge;Offence against public decency by groping;Allerød;3;2;1;0;0;2;1;0;0;3;1;7;2;1
Charge;Offence against public decency by groping;Egedal;1;4;0;1;3;2;0;2;2;2;1;3;1;0
Charge;Offence against public decency by groping;Fredensborg;1;0;5;2;6;0;1;1;0;2;0;1;0;3
Charge;Offence against public decency by groping;Frederikssund;5;5;2;1;6;8;0;2;0;1;0;1;2;4
Charge;Offence against public decency by groping;Furesø;1;0;0;0;1;2;0;2;2;1;2;3;3;2
Charge;Offence against public decency by groping;Gribskov;4;0;3;1;1;5;3;2;2;2;1;3;10;4
Charge;Offence against public decency by groping;Halsnæs;5;5;3;2;4;2;0;1;0;2;7;1;2;1
Charge;Offence against public decency by groping;Helsingør;5;1;9;3;2;4;4;1;3;5;8;3;6;5
Charge;Offence against public decency by groping;Hillerød;2;0;2;9;2;4;0;2;1;1;7;5;4;7
Charge;Offence against public decency by groping;Hørsholm;0;0;3;0;0;0;1;0;0;1;1;2;0;0
Charge;Offence against public decency by groping;Rudersdal;0;2;0;0;1;4;4;4;1;4;17;0;4;1
Charge;Offence against public decency by groping;Bornholm;0;7;1;2;1;3;1;3;8;3;4;2;2;9
Charge;Offence against public decency by groping;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Offence against public decency by groping;Region Sjælland;31;37;35;68;56;55;45;47;39;73;71;97;84;91
Charge;Offence against public decency by groping;Greve;0;5;1;4;5;4;1;0;2;5;5;6;2;4
Charge;Offence against public decency by groping;Køge;1;4;1;1;2;13;4;2;1;2;3;3;6;4
